venda_id,cliente_id,veiculo_id,vendedor_id,data_venda,valor_venda,desconto_percentual,forma_pagamento,numero_parcelas,valor_entrada,status_venda
1,549,5,13,2023-06-24,1538659.37,2.21,Financiamento,60,551026.6,Concluída
2,1296,31,5,2023-11-21,893720.84,1.57,Leasing,48,89372.08,Concluída
3,574,19,10,2024-10-02,1061959.37,5.88,Financiamento,36,327677.63,Cancelada
4,953,32,3,2023-12-11,813801.15,5.49,Financiamento,60,310860.6,Concluída
5,160,3,2,2023-08-11,954343.7,3.41,Consórcio,84,0.0,Concluída
6,1190,32,6,2023-02-05,797010.21,7.44,Consórcio,60,0.0,Concluída
7,418,37,13,2024-04-15,578431.1,6.38,À vista,1,578431.1,Concluída
8,1041,35,10,2023-04-08,744718.93,5.67,Financiamento,48,165967.27,Concluída
9,1693,4,9,2024-03-26,800785.04,5.85,Financiamento,48,212038.13,Concluída
10,1767,14,4,2023-12-05,657702.24,5.93,Leasing,36,65770.22,Concluída
11,609,18,4,2023-06-16,844252.71,7.23,À vista,1,844252.71,Concluída
12,174,18,7,2023-07-18,860087.57,5.49,Financiamento,48,212025.39,Concluída
13,1719,1,6,2024-07-03,943788.04,5.32,Leasing,36,94378.8,Concluída
14,1314,30,1,2024-12-25,831257.79,10.99,Financiamento,24,286204.4,Concluída
15,691,30,15,2023-11-16,869080.43,6.94,Consórcio,84,0.0,Concluída
16,550,2,13,2023-02-16,1134530.28,3.78,Financiamento,48,258391.53,Concluída
17,1993,16,8,2023-05-18,1131490.61,5.24,Financiamento,60,437630.48,Concluída
18,1714,31,10,2023-07-08,877922.05,3.31,Financiamento,12,227568.53,Concluída
19,88,29,10,2024-12-25,708120.11,0.89,Financiamento,48,253696.99,Concluída
20,1343,29,2,2024-05-22,659821.33,7.65,Financiamento,60,206809.59,Concluída
21,1446,6,13,2023-04-04,1036727.63,3.12,Financiamento,48,412060.99,Concluída
22,1935,10,1,2024-12-12,850062.2,10.93,Leasing,36,85006.22,Concluída
23,1806,33,7,2023-06-11,1014805.63,3.72,À vista,1,1014805.63,Cancelada
24,1685,32,6,2024-10-20,843852.64,2.0,Financiamento,12,331303.43,Concluída
25,1815,35,4,2024-01-06,733034.58,7.15,Leasing,36,73303.46,Concluída
26,1581,27,9,2024-02-20,509726.13,3.37,Consórcio,60,0.0,Concluída
27,894,26,12,2024-12-02,558963.59,8.1,À vista,1,558963.59,Concluída
28,1741,38,7,2023-08-07,889413.18,0.67,Consórcio,84,0.0,Concluída
29,1453,38,12,2024-01-05,863983.46,3.51,Consórcio,84,0.0,Concluída
30,377,10,3,2023-08-04,929466.24,2.61,À vista,1,929466.24,Concluída
31,1317,25,6,2023-07-08,703926.81,1.54,Financiamento,60,279154.64,Concluída
32,908,29,7,2023-11-28,662107.66,7.33,Financiamento,36,168128.71,Concluída
33,1661,29,1,2023-11-11,694259.22,2.83,Financiamento,12,220740.47,Concluída
34,963,19,9,2024-11-15,1040070.28,7.82,Financiamento,48,264061.05,Concluída
35,1207,14,15,2023-06-11,666301.94,4.7,Financiamento,24,177622.88,Concluída
36,1174,1,6,2023-12-07,982265.25,1.46,Financiamento,60,262876.92,Concluída
37,1773,28,15,2024-05-18,543570.28,6.3,Consórcio,72,0.0,Concluída
38,1275,8,15,2023-08-23,1235894.81,14.46,Leasing,48,123589.48,Concluída
39,1080,4,8,2023-09-13,820857.82,3.49,Consórcio,84,0.0,Concluída
40,1907,32,2,2023-09-09,798818.46,7.23,Financiamento,24,251459.32,Concluída
41,1134,35,6,2023-10-10,756798.01,4.14,À vista,1,756798.01,Concluída
42,1249,5,9,2023-11-26,1527330.66,2.93,À vista,1,1527330.66,Concluída
43,585,31,9,2024-12-02,835337.98,8.0,Financiamento,48,175853.16,Concluída
44,1723,34,4,2023-09-03,604060.47,5.99,Financiamento,48,173868.8,Concluída
45,651,23,5,2024-10-22,545165.04,5.65,Financiamento,36,125078.05,Concluída
46,97,18,13,2023-03-01,867276.95,4.7,À vista,1,867276.95,Concluída
47,1196,34,4,2024-08-28,626485.44,2.5,Financiamento,48,179350.97,Concluída
48,1635,35,9,2023-09-13,773456.09,2.03,À vista,1,773456.09,Concluída
49,18,30,13,2023-07-11,895976.54,4.06,Financiamento,48,354632.78,Concluída
50,692,16,11,2023-03-06,1082892.4,9.31,À vista,1,1082892.4,Concluída
